Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Type
17/11/2017 16:37:27.332,0.112305,0.205078,0.307617,0.117187,0.410156,1.030273,2
17/11/2017 16:37:28.330,0.112305,0.205078,0.307617,0.117187,0.405273,1.025391,2
17/11/2017 16:37:29.335,0.112305,0.205078,0.302734,0.117187,0.405273,1.020508,2
17/11/2017 16:37:30.335,0.112305,0.205078,0.302734,0.112305,0.405273,1.015625,2
17/11/2017 16:37:31.333,0.112305,0.205078,0.302734,0.117187,0.405273,1.010742,2
17/11/2017 16:37:32.332,0.112305,0.200195,0.297852,0.117187,0.405273,1.005859,2
17/11/2017 16:37:33.332,0.112305,0.200195,0.297852,0.112305,0.405273,1.000977,2
17/11/2017 16:37:34.335,0.112305,0.200195,0.297852,0.117187,0.405273,0.996094,2
17/11/2017 16:37:35.335,0.112305,0.200195,0.297852,0.112305,0.400391,0.996094,2
17/11/2017 16:37:36.335,0.112305,0.200195,0.297852,0.112305,0.400391,0.991211,2
17/11/2017 16:37:37.333,0.112305,0.195312,0.292969,0.112305,0.400391,0.986328,2
17/11/2017 16:37:38.334,0.112305,0.195312,0.292969,0.112305,0.400391,0.981445,2
17/11/2017 16:37:39.336,0.112305,0.195312,0.292969,0.112305,0.400391,0.976562,2
17/11/2017 16:37:40.335,0.112305,0.195312,0.292969,0.112305,0.400391,0.976562,2
17/11/2017 16:37:41.334,0.112305,0.195312,0.292969,0.112305,0.400391,0.97168,2
17/11/2017 16:37:42.334,0.112305,0.195312,0.292969,0.112305,0.395508,0.966797,2
17/11/2017 16:37:43.334,0.107422,0.195312,0.292969,0.112305,0.400391,0.966797,2
17/11/2017 16:37:44.338,0.107422,0.19043,0.288086,0.112305,0.395508,0.961914,2
17/11/2017 16:37:45.335,0.107422,0.19043,0.288086,0.112305,0.395508,0.957031,2
17/11/2017 16:37:46.336,0.107422,0.19043,0.288086,0.112305,0.395508,0.957031,2
17/11/2017 16:37:47.335,0.107422,0.19043,0.288086,0.112305,0.395508,0.952148,2
17/11/2017 16:37:48.334,0.107422,0.19043,0.288086,0.112305,0.395508,0.952148,2
17/11/2017 16:37:49.334,0.107422,0.185547,0.288086,0.112305,0.395508,0.947266,2
17/11/2017 16:37:50.338,0.107422,0.185547,0.283203,0.112305,0.395508,0.947266,2
17/11/2017 16:37:51.337,0.107422,0.185547,0.283203,0.112305,0.395508,0.942383,2
17/11/2017 16:37:52.336,0.107422,0.185547,0.283203,0.112305,0.395508,0.9375,2
17/11/2017 16:37:53.339,0.107422,0.185547,0.283203,0.112305,0.390625,0.9375,2
17/11/2017 16:37:54.340,0.107422,0.185547,0.283203,0.112305,0.390625,0.932617,2
17/11/2017 16:37:55.338,0.107422,0.185547,0.283203,0.112305,0.390625,0.932617,2
17/11/2017 16:37:56.338,0.107422,0.185547,0.283203,0.112305,0.390625,0.932617,2
17/11/2017 16:37:57.336,0.107422,0.185547,0.283203,0.112305,0.390625,0.927734,2
17/11/2017 16:37:58.341,0.107422,0.180664,0.283203,0.112305,0.390625,0.927734,2
17/11/2017 16:37:59.339,0.107422,0.180664,0.283203,0.107422,0.390625,0.927734,2
17/11/2017 16:38:00.338,0.107422,0.180664,0.283203,0.112305,0.390625,0.922852,2
17/11/2017 16:38:01.343,0.107422,0.180664,0.27832,0.112305,0.390625,0.917969,2
17/11/2017 16:38:02.342,0.107422,0.180664,0.27832,0.112305,0.390625,0.917969,2
17/11/2017 16:38:03.342,0.107422,0.180664,0.27832,0.112305,0.390625,0.917969,2
17/11/2017 16:38:04.343,0.107422,0.180664,0.27832,0.107422,0.385742,0.913086,2
17/11/2017 16:38:05.340,0.107422,0.180664,0.27832,0.107422,0.385742,0.913086,2
17/11/2017 16:38:06.343,0.107422,0.180664,0.27832,0.107422,0.385742,0.913086,2
17/11/2017 16:38:07.343,0.107422,0.180664,0.27832,0.112305,0.385742,0.908203,2
17/11/2017 16:38:08.342,0.107422,0.175781,0.27832,0.107422,0.385742,0.908203,2
17/11/2017 16:38:09.342,0.107422,0.175781,0.27832,0.107422,0.385742,0.908203,2
17/11/2017 16:38:10.346,0.107422,0.175781,0.27832,0.107422,0.385742,0.90332,2
17/11/2017 16:38:11.345,0.107422,0.175781,0.27832,0.107422,0.385742,0.90332,2
17/11/2017 16:38:12.344,0.107422,0.175781,0.273437,0.107422,0.385742,0.90332,2
17/11/2017 16:38:13.345,0.107422,0.175781,0.273437,0.107422,0.385742,0.898437,2
17/11/2017 16:38:14.343,0.107422,0.175781,0.273437,0.107422,0.385742,0.898437,2
17/11/2017 16:38:15.343,0.107422,0.175781,0.273437,0.107422,0.385742,0.898437,2
17/11/2017 16:38:16.341,0.107422,0.175781,0.273437,0.107422,0.385742,0.898437,2
17/11/2017 16:38:17.345,0.107422,0.175781,0.273437,0.107422,0.385742,0.893555,2
17/11/2017 16:38:18.345,0.107422,0.175781,0.273437,0.107422,0.380859,0.893555,2
17/11/2017 16:38:19.344,0.107422,0.170898,0.273437,0.107422,0.380859,0.893555,2
17/11/2017 16:38:20.343,0.107422,0.170898,0.273437,0.107422,0.380859,0.893555,2
17/11/2017 16:38:21.347,0.107422,0.170898,0.273437,0.107422,0.380859,0.893555,2
17/11/2017 16:38:22.345,0.107422,0.170898,0.273437,0.107422,0.380859,0.888672,2
17/11/2017 16:38:23.345,0.107422,0.170898,0.273437,0.107422,0.380859,0.888672,2
17/11/2017 16:38:24.346,0.107422,0.170898,0.273437,0.107422,0.380859,0.888672,2
17/11/2017 16:38:25.348,0.107422,0.170898,0.273437,0.107422,0.380859,0.888672,2
17/11/2017 16:38:26.348,0.107422,0.170898,0.268555,0.107422,0.380859,0.883789,2
17/11/2017 16:38:27.348,0.102539,0.170898,0.268555,0.107422,0.380859,0.883789,2
17/11/2017 16:38:28.351,0.107422,0.170898,0.268555,0.107422,0.380859,0.883789,2
17/11/2017 16:38:29.349,0.107422,0.170898,0.268555,0.107422,0.380859,0.883789,2
17/11/2017 16:38:30.348,0.107422,0.170898,0.268555,0.107422,0.380859,0.878906,2
17/11/2017 16:38:31.349,0.107422,0.170898,0.268555,0.107422,0.380859,0.878906,2
17/11/2017 16:38:32.348,0.107422,0.166016,0.268555,0.107422,0.380859,0.878906,2
17/11/2017 16:38:33.346,0.107422,0.166016,0.268555,0.107422,0.380859,0.878906,2
17/11/2017 16:38:34.347,0.107422,0.166016,0.268555,0.107422,0.380859,0.878906,2
17/11/2017 16:38:35.351,0.107422,0.166016,0.268555,0.107422,0.380859,0.874023,2
17/11/2017 16:38:36.350,0.107422,0.166016,0.268555,0.107422,0.375977,0.874023,2
17/11/2017 16:38:37.349,0.102539,0.166016,0.268555,0.107422,0.380859,0.874023,2
17/11/2017 16:38:38.349,0.107422,0.166016,0.268555,0.107422,0.375977,0.874023,2
17/11/2017 16:38:39.347,0.102539,0.166016,0.268555,0.107422,0.375977,0.874023,2
17/11/2017 16:38:40.351,0.107422,0.166016,0.268555,0.107422,0.375977,0.874023,2
17/11/2017 16:38:41.350,0.102539,0.166016,0.268555,0.107422,0.375977,0.869141,2
17/11/2017 16:38:42.349,0.107422,0.166016,0.268555,0.107422,0.375977,0.869141,2
17/11/2017 16:38:43.350,0.102539,0.166016,0.268555,0.107422,0.375977,0.869141,2
17/11/2017 16:38:44.348,0.107422,0.166016,0.268555,0.107422,0.375977,0.869141,2
17/11/2017 16:38:45.348,0.107422,0.166016,0.268555,0.107422,0.375977,0.869141,2
17/11/2017 16:38:46.351,0.102539,0.166016,0.263672,0.107422,0.375977,0.864258,2
17/11/2017 16:38:47.350,0.102539,0.166016,0.263672,0.107422,0.375977,0.864258,2
17/11/2017 16:38:48.353,0.102539,0.166016,0.263672,0.107422,0.375977,0.864258,2
17/11/2017 16:38:49.350,0.102539,0.166016,0.263672,0.107422,0.375977,0.864258,2
17/11/2017 16:38:50.352,0.107422,0.166016,0.263672,0.107422,0.375977,0.864258,2
17/11/2017 16:38:51.352,0.102539,0.166016,0.263672,0.102539,0.375977,0.864258,2
17/11/2017 16:38:52.351,0.102539,0.166016,0.263672,0.107422,0.375977,0.864258,2
17/11/2017 16:38:53.351,0.102539,0.166016,0.263672,0.107422,0.375977,0.864258,2
17/11/2017 16:38:54.350,0.102539,0.166016,0.263672,0.102539,0.375977,0.859375,2
17/11/2017 16:38:55.354,0.102539,0.161133,0.263672,0.102539,0.375977,0.859375,2
17/11/2017 16:38:56.354,0.102539,0.166016,0.263672,0.102539,0.375977,0.859375,2
17/11/2017 16:38:57.352,0.102539,0.161133,0.263672,0.107422,0.375977,0.859375,2
17/11/2017 16:38:58.352,0.102539,0.161133,0.263672,0.107422,0.375977,0.859375,2
17/11/2017 16:38:59.356,0.102539,0.161133,0.263672,0.102539,0.375977,0.859375,2
17/11/2017 16:39:00.355,0.102539,0.161133,0.263672,0.102539,0.375977,0.859375,2
17/11/2017 16:39:01.354,0.102539,0.161133,0.263672,0.102539,0.371094,0.859375,2
17/11/2017 16:39:02.353,0.102539,0.161133,0.263672,0.102539,0.371094,0.854492,2
17/11/2017 16:39:03.356,0.102539,0.161133,0.263672,0.107422,0.371094,0.854492,2
17/11/2017 16:39:04.356,0.102539,0.161133,0.263672,0.102539,0.371094,0.854492,2
17/11/2017 16:39:05.355,0.102539,0.161133,0.263672,0.102539,0.371094,0.854492,2
17/11/2017 16:39:06.355,0.102539,0.161133,0.263672,0.102539,0.371094,0.854492,2
17/11/2017 16:39:07.359,0.102539,0.161133,0.258789,0.102539,0.371094,0.854492,2
17/11/2017 16:39:08.358,0.102539,0.161133,0.263672,0.102539,0.371094,0.854492,2
17/11/2017 16:39:09.358,0.102539,0.161133,0.258789,0.107422,0.371094,0.854492,2
17/11/2017 16:39:10.356,0.102539,0.161133,0.263672,0.102539,0.371094,0.854492,2
17/11/2017 16:39:11.355,0.102539,0.161133,0.258789,0.102539,0.371094,0.854492,2
17/11/2017 16:39:12.354,0.102539,0.161133,0.258789,0.102539,0.371094,0.854492,2
17/11/2017 16:39:13.358,0.102539,0.161133,0.258789,0.102539,0.371094,0.849609,2
17/11/2017 16:39:14.358,0.102539,0.161133,0.263672,0.102539,0.371094,0.854492,2
17/11/2017 16:39:15.362,0.102539,0.161133,0.258789,0.102539,0.371094,0.849609,2
17/11/2017 16:39:16.360,0.102539,0.161133,0.258789,0.102539,0.371094,0.849609,2
17/11/2017 16:39:17.360,0.102539,0.161133,0.258789,0.102539,0.371094,0.849609,2
17/11/2017 16:39:18.359,0.102539,0.15625,0.258789,0.102539,0.371094,0.849609,2
